controller_path,module,class_route_prefix,route_count,route_names
"Maintainers/Clinical/PhysicalExamFieldController.php","Maintainers/Clinical","/maintainers/clinical/physical-exam-field",6,"app_maintainers_clinical_physical_exam_field_index;app_maintainers_clinical_physical_exam_field_create;app_maintainers_clinical_physical_exam_field_edit;app_maintainers_clinical_physical_exam_field_delete;app_maintainers_clinical_physical_exam_field_export;campos_examen_fisico_"
"Maintainers/Clinical/PhysicalExamGroupController.php","Maintainers/Clinical","/maintainers/clinical/physical-exam-group",6,"app_maintainers_clinical_physical_exam_group_index;app_maintainers_clinical_physical_exam_group_create;app_maintainers_clinical_physical_exam_group_edit;app_maintainers_clinical_physical_exam_group_delete;app_maintainers_clinical_physical_exam_group_export;agrupaciones_examen_fisico_"
"Maintainers/Clinical/PhysicalExamTypeController.php","Maintainers/Clinical","/maintainers/clinical/physical-exam-type",6,"app_maintainers_clinical_physical_exam_type_index;app_maintainers_clinical_physical_exam_type_create;app_maintainers_clinical_physical_exam_type_edit;app_maintainers_clinical_physical_exam_type_delete;app_maintainers_clinical_physical_exam_type_export;tipos_examen_fisico_"
"Maintainers/ClinicalSupport/ExamReportController.php","Maintainers/ClinicalSupport","/maintainers/clinical-support/exam-report",6,"app_maintainers_clinical_support_exam_report_index;app_maintainers_clinical_support_exam_report_create;app_maintainers_clinical_support_exam_report_edit;app_maintainers_clinical_support_exam_report_delete;app_maintainers_clinical_support_exam_report_export;informes_examen_"
"Maintainers/Commercial/BedTypeController.php","Maintainers/Commercial","/maintainers/commercial/bed-type",5,"app_maintainers_commercial_bed_type_index;app_maintainers_commercial_bed_type_create;app_maintainers_commercial_bed_type_edit;app_maintainers_commercial_bed_type_delete;app_maintainers_commercial_bed_type_export"
"Maintainers/Commercial/BlockingTypeController.php","Maintainers/Commercial","/maintainers/commercial/blocking-type",5,"app_maintainers_commercial_blocking_type_index;app_maintainers_commercial_blocking_type_create;app_maintainers_commercial_blocking_type_edit;app_maintainers_commercial_blocking_type_delete;app_maintainers_commercial_blocking_type_export"
"Maintainers/Commercial/BranchPayerController.php","Maintainers/Commercial","/maintainers/commercial/branch-payer",5,"app_maintainers_commercial_branch_payer_index;app_maintainers_commercial_branch_payer_create;app_maintainers_commercial_branch_payer_edit;app_maintainers_commercial_branch_payer_delete;app_maintainers_commercial_branch_payer_export"
"Maintainers/Commercial/CancellationTypeController.php","Maintainers/Commercial","/maintainers/commercial/cancellation-type",5,"app_maintainers_commercial_cancellation_type_index;app_maintainers_commercial_cancellation_type_create;app_maintainers_commercial_cancellation_type_edit;app_maintainers_commercial_cancellation_type_delete;app_maintainers_commercial_cancellation_type_export"
"Maintainers/Commercial/ConsultationTypeController.php","Maintainers/Commercial","/maintainers/commercial/consultation-type",5,"app_maintainers_commercial_consultation_type_index;app_maintainers_commercial_consultation_type_create;app_maintainers_commercial_consultation_type_edit;app_maintainers_commercial_consultation_type_delete;app_maintainers_commercial_consultation_type_export"
"Maintainers/Commercial/ENOPathologyController.php","Maintainers/Commercial","/maintainers/commercial/eno-pathology",5,"app_maintainers_commercial_eno_pathology_index;app_maintainers_commercial_eno_pathology_create;app_maintainers_commercial_eno_pathology_edit;app_maintainers_commercial_eno_pathology_delete;app_maintainers_commercial_eno_pathology_export"
"Maintainers/Commercial/ExternalReferrerController.php","Maintainers/Commercial","/maintainers/commercial/external-referrer",5,"app_maintainers_commercial_external_referrer_index;app_maintainers_commercial_external_referrer_create;app_maintainers_commercial_external_referrer_edit;app_maintainers_commercial_external_referrer_delete;app_maintainers_commercial_external_referrer_export"
"Maintainers/Commercial/GESPathologyController.php","Maintainers/Commercial","/maintainers/commercial/ges-pathology",5,"app_maintainers_commercial_ges_pathology_index;app_maintainers_commercial_ges_pathology_create;app_maintainers_commercial_ges_pathology_edit;app_maintainers_commercial_ges_pathology_delete;app_maintainers_commercial_ges_pathology_export"
"Maintainers/Commercial/MedicalServiceBedTypeController.php","Maintainers/Commercial","/maintainers/commercial/medical-service-bed-type",5,"app_maintainers_commercial_medical_service_bed_type_index;app_maintainers_commercial_medical_service_bed_type_create;app_maintainers_commercial_medical_service_bed_type_edit;app_maintainers_commercial_medical_service_bed_type_delete;app_maintainers_commercial_medical_service_bed_type_export"
"Maintainers/Commercial/MedicalServiceBudgetItemController.php","Maintainers/Commercial","/maintainers/commercial/medical-service-budget-item",5,"app_maintainers_commercial_medical_service_budget_item_index;app_maintainers_commercial_medical_service_budget_item_create;app_maintainers_commercial_medical_service_budget_item_edit;app_maintainers_commercial_medical_service_budget_item_delete;app_maintainers_commercial_medical_service_budget_item_export"
"Maintainers/Commercial/MedicalServiceController.php","Maintainers/Commercial","/maintainers/commercial/medical-service",5,"app_maintainers_commercial_medical_service_index;app_maintainers_commercial_medical_service_create;app_maintainers_commercial_medical_service_edit;app_maintainers_commercial_medical_service_delete;app_maintainers_commercial_medical_service_export"
"Maintainers/Commercial/MedicalServiceServiceController.php","Maintainers/Commercial","/maintainers/commercial/medical-service-service",5,"app_maintainers_commercial_medical_service_service_index;app_maintainers_commercial_medical_service_service_create;app_maintainers_commercial_medical_service_service_edit;app_maintainers_commercial_medical_service_service_delete;app_maintainers_commercial_medical_service_service_export"
"Maintainers/Commercial/PathologyArticleController.php","Maintainers/Commercial","/maintainers/commercial/pathology-article",5,"app_maintainers_commercial_pathology_article_index;app_maintainers_commercial_pathology_article_create;app_maintainers_commercial_pathology_article_edit;app_maintainers_commercial_pathology_article_delete;app_maintainers_commercial_pathology_article_export"
"Maintainers/Commercial/PayerController.php","Maintainers/Commercial","/maintainers/commercial/payer",5,"app_maintainers_commercial_payer_index;app_maintainers_commercial_payer_create;app_maintainers_commercial_payer_edit;app_maintainers_commercial_payer_delete;app_maintainers_commercial_payer_export"
"Maintainers/Commercial/PayerTypeController.php","Maintainers/Commercial","/maintainers/commercial/payer-type",5,"app_maintainers_commercial_payer_type_index;app_maintainers_commercial_payer_type_create;app_maintainers_commercial_payer_type_edit;app_maintainers_commercial_payer_type_delete;app_maintainers_commercial_payer_type_export"
"Maintainers/Commercial/RequestingCompanyController.php","Maintainers/Commercial","/maintainers/commercial/requesting-company",5,"app_maintainers_commercial_requesting_company_index;app_maintainers_commercial_requesting_company_create;app_maintainers_commercial_requesting_company_edit;app_maintainers_commercial_requesting_company_delete;app_maintainers_commercial_requesting_company_export"
"Maintainers/Commercial/RoomController.php","Maintainers/Commercial","/maintainers/commercial/room",5,"app_maintainers_commercial_room_index;app_maintainers_commercial_room_create;app_maintainers_commercial_room_edit;app_maintainers_commercial_room_delete;app_maintainers_commercial_room_export"
"Maintainers/Commercial/ServicePackageController.php","Maintainers/Commercial","/maintainers/commercial/service-package",5,"app_maintainers_commercial_service_package_index;app_maintainers_commercial_service_package_create;app_maintainers_commercial_service_package_edit;app_maintainers_commercial_service_package_delete;app_maintainers_commercial_service_package_export"
"Maintainers/Commercial/SpecialtyBranchController.php","Maintainers/Commercial","/maintainers/commercial/specialty-branch",5,"app_maintainers_commercial_specialty_branch_index;app_maintainers_commercial_specialty_branch_create;app_maintainers_commercial_specialty_branch_edit;app_maintainers_commercial_specialty_branch_delete;app_maintainers_commercial_specialty_branch_export"
"Maintainers/Commercial/SpecialtyController.php","Maintainers/Commercial","/maintainers/commercial/specialty",5,"app_maintainers_commercial_specialty_index;app_maintainers_commercial_specialty_create;app_maintainers_commercial_specialty_edit;app_maintainers_commercial_specialty_delete;app_maintainers_commercial_specialty_export"
"Maintainers/Commercial/SurgeryItemController.php","Maintainers/Commercial","/maintainers/commercial/surgery-item",5,"app_maintainers_commercial_surgery_item_index;app_maintainers_commercial_surgery_item_create;app_maintainers_commercial_surgery_item_edit;app_maintainers_commercial_surgery_item_delete;app_maintainers_commercial_surgery_item_export"
"Maintainers/Commercial/TreatmentTypeController.php","Maintainers/Commercial","/maintainers/commercial/treatment-type",5,"app_maintainers_commercial_treatment_type_index;app_maintainers_commercial_treatment_type_create;app_maintainers_commercial_treatment_type_edit;app_maintainers_commercial_treatment_type_delete;app_maintainers_commercial_treatment_type_export"
"Maintainers/Hospital/CareCategoryController.php","Maintainers/Hospital","/maintainers/hospital/care-category",6,"app_maintainers_hospital_care_category_index;app_maintainers_hospital_care_category_create;app_maintainers_hospital_care_category_edit;app_maintainers_hospital_care_category_delete;app_maintainers_hospital_care_category_export;categorias_cuidados_"
"Maintainers/Hospital/CareClosureDestinationController.php","Maintainers/Hospital","/maintainers/hospital/care-closure-destination",6,"app_maintainers_hospital_care_closure_destination_index;app_maintainers_hospital_care_closure_destination_create;app_maintainers_hospital_care_closure_destination_edit;app_maintainers_hospital_care_closure_destination_delete;app_maintainers_hospital_care_closure_destination_export;destinos_cierre_"
"Maintainers/Hospital/CareInterventionController.php","Maintainers/Hospital","/maintainers/hospital/care-intervention",5,"app_maintainers_hospital_care_intervention_index;app_maintainers_hospital_care_intervention_create;app_maintainers_hospital_care_intervention_edit;app_maintainers_hospital_care_intervention_delete;app_maintainers_hospital_care_intervention_export"
"Maintainers/Hospital/ClinicalActionAnswerController.php","Maintainers/Hospital","/maintainers/hospital/clinical-action-answer",5,"app_maintainers_hospital_clinical_action_answer_index;app_maintainers_hospital_clinical_action_answer_create;app_maintainers_hospital_clinical_action_answer_edit;app_maintainers_hospital_clinical_action_answer_delete;app_maintainers_hospital_clinical_action_answer_export"
"Maintainers/Hospital/ClinicalActionCategoryController.php","Maintainers/Hospital","/maintainers/hospital/clinical-action-category",6,"app_maintainers_hospital_clinical_action_category_index;app_maintainers_hospital_clinical_action_category_create;app_maintainers_hospital_clinical_action_category_edit;app_maintainers_hospital_clinical_action_category_delete;app_maintainers_hospital_clinical_action_category_export;categorias_accion_clinica_"
"Maintainers/Hospital/ClinicalActionQuestionController.php","Maintainers/Hospital","/maintainers/hospital/clinical-action-question",5,"app_maintainers_hospital_clinical_action_question_index;app_maintainers_hospital_clinical_action_question_create;app_maintainers_hospital_clinical_action_question_edit;app_maintainers_hospital_clinical_action_question_delete;app_maintainers_hospital_clinical_action_question_export"
